session_id,Session Id.,{{session_id}}
session_uuid,Session uuid.,{{session_uuid}}
ifa,Advertising device identifier.,{{ifa}}
ifa_type,"Advertising device identifier type:
Generic Id: dpid
Android Id: aaid
Apple Id: idfa
Amazon Fire Id: afai
Microsoft Id: msai
Roku Id: rida
Tizen Id: tifa
Vizio Id: vida
Publisher Provided Id: ppid
Session Id: sessionid",{{ifa_type}}
ppid,Publisher Provided User Id,{{ppid}}
us_privacy,User Consent String in US Privacy Format.,{{us_privacy}}
coppa,"Indicates if the content is directed at children:
1: Directed at children
0: Not directed at children

Note: For the US, children under the age of 13 years.",{{coppa}}
gdpr,"Indicates if the GDPR rules apply:
apply: 1

do not apply: 0",{{gdpr}}
gdpr_consent,User Consent String in TCF V2 Format.,{{gdpr_consent}}
addtl_consent,"Additional Consent String in TCF V2 format.
Format: 1~...",{{addtl_consent}}
lmt,"Limit Ad Tracking:
0: User has not requested ""Limit Ad Tracking""
1: User has requested ""Limit Ad Tracking""

Note: If lmt is not present, the assumption is that the user has not requested ""Limit Ad Tracking"".",{{lmt}}
dnt,"Do not Track:
0: User has not requested ""Do not Track""
1: User has requested ""Do not Track""

Note: If dnt is not present, the assumption is that the user has not requested ""Do not Track"".",{{dnt}}
country_code,"User Country code
ISO 3166-1 alpha-2",{{country_code}}
lat,User geographical latitude,{{lat}}
lon,User geographical longitude,{{lon}}
cid,"Content Id.
As provided by the Channel Owner.",{{cid}}
ua,"User Agent provided as a Query parameter.
Note: If not provided in the http Header.",{{ua}}
,,
VizChoice Http Header,Description,Macro
x-device-ip,,{{x-device-ip}}
x-forwarded-for,,{{x-forwarded-for}}
user-agent,,{{user-agent}}
,"Note: For Http header macros interpretation, if the same value is provided as a Query parameter, the Query parameter has priority over Http header.",
,,
VizChoice Channel,,
channel:code,,{{channel:code}}
channel:name,,{{channel:name}}
channel:escape_name,To use in order to ensure that spaces in channel name are escaped.,{{channel:escape_name}}
channel:schedule_code,,{{channel:schedule_code}}
channel:broadcastschedule_channel_code,,{{channel:broadcastschedule_channel_code}}
channel:language,,{{channel:language}}
channel:language_code,2 letters (ISO 639-1),{{channel:language_code}}
channel:media_type,,{{channel:media_type}}
channel:genre,,{{channel:genre}}
channel:category_code,,{{channel:category_code}}
channel:content_category_code,,{{channel:content_category_code}}
channel:content_category_name,,{{channel:content_category_name}}
channel:content_provider_code,,{{channel:content_provider_code}}
channel:content_provider_name,,{{channel:content_provider_name}}
,,
VizChoice Content,,
content_metadata:content_source_code,,{{content_metadata:content_source_code}}
content_metadata:code,,{{content_metadata:code}}
content_metadata:title,,{{content_metadata:title}}
content_metadata:media_type,,{{content_metadata:media_type}}
content_metadata:type,,{{content_metadata:type}}
content_metadata:duration_s,,{{content_metadata:duration_s}}
content_metadata:description,,{{content_metadata:description}}
content_metadata:start_date,,{{content_metadata:start_date}}
content_metadata:end_date,,{{content_metadata:end_date}}
content_metadata:rating,,{{content_metadata:rating}}
content_metadata:rating$registry=%registry%,Note: Example: content_metadata:rating$registry=IMDB,{{content_metadata:rating$registry=%registry%}}
content_metadata:key_values_%key%,"Example: content_metadata:key_values_director.
Note: If multiple values for a single key, all values are sent separated by a comma.",{{content_metadata:key_values_%key%}}
content_metadata:category_%code%,Note: Beta,{{content_metadata:category_%code%}}
content_metadata:thirdpartycontent_id_%registry%,Note: Beta,{{content_metadata:thirdpartycontent_id_%registry%}}
,,
VizChoice EPG,,
broadcastschedule:code,,{{broadcastschedule:code}}
broadcastschedule:title,,{{broadcastschedule:title}}
broadcastschedule:duration,,{{broadcastschedule:duration}}
broadcastschedule:language,,{{broadcastschedule:language}}
broadcastschedule:channel_code,,{{broadcastschedule:channel_code}}
broadcastschedule:channel_name,,{{broadcastschedule:channel_name}}
broadcastschedule:description,,{{broadcastschedule:description}}
broadcastschedule:start,,{{broadcastschedule:start}}
broadcastschedule:end,,{{broadcastschedule:end}}
broadcastschedule:rating,,{{broadcastschedule:rating}}
broadcastschedule:rating$registry=%registry%,,{{broadcastschedule:rating$registry=%registry%}}
broadcastschedule:category_%code%,Note: Beta,{{broadcastschedule:category_%code%}}
broadcastschedule:thirdparty_ids_%registry%,Note: Beta,{{broadcastschedule:thirdparty_ids_%registry%}}
